,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff,-log(BH) Diff
,mean,std,min,max,sum
Gene,,,,,
ABCB1,-0.11588549822908938,0.47951585140718117,-0.9521137418296064,0.7195017661471432,-2.3177099645817876
ABCG2,0.01634389478953189,0.29664657231407277,-0.5086325303680272,0.5222216338254775,0.16343894789531888
ACKR3,-0.04529631776685497,0.8272025288927719,-0.7742453080292844,2.69020138254721,-2.7177790660112984
ADM,-0.4713167667672469,,-0.4713167667672469,-0.4713167667672469,-0.4713167667672469
ADORA1,-0.6337979677861898,0.18295465781491166,-0.8673038141375802,-0.427521145551303,-2.535191871144759
ADORA2A,-0.058684563173093444,0.1507963478148869,-0.1653136832911652,0.0479445569449783,-0.11736912634618689
ADORA2B,-0.1842295953623388,0.3343034577903195,-0.7742453080292844,0.3742117306595141,-1.658066358261049
ADORA3,-0.6337979677861898,0.18295465781491166,-0.8673038141375802,-0.427521145551303,-2.535191871144759
ADRA1D,-0.427521145551303,,-0.427521145551303,-0.427521145551303,-0.427521145551303
ADRA2B,-0.6587282536891639,,-0.6587282536891639,-0.6587282536891639,-0.6587282536891639
AGT,-0.06548427075245493,0.7268687014152657,-0.7742453080292844,2.69020138254721,-5.369710201701304
AGTR1,-0.8842259461880371,0.6458781230613698,-1.340930746824771,-0.427521145551303,-1.7684518923760741
AGTR2,-0.6337979677861898,0.18295465781491166,-0.8673038141375802,-0.427521145551303,-2.535191871144759
ALB,-0.42798444048550294,0.6817213816485896,-1.901196468100899,2.580384974496262,-21.399222024275147
ANGPT1,-0.6587282536891639,,-0.6587282536891639,-0.6587282536891639,-0.6587282536891639
ANXA1,-0.029538950625483826,0.33659204393611475,-0.4579357257573662,0.7838558621265488,-0.4726232100077412
AP1M1,-0.5304319047344669,0.49503752388884925,-1.7527272831184817,0.9818616389731174,-12.19993380889274
APOA1,-0.10166753186227521,0.8867164091371907,-0.999252666038501,2.580384974496262,-2.6433558284191556
APOA2,-0.36075953092261626,0.47391489311360463,-0.93218411340378,0.9818616389731174,-4.689873901994011
APOA4,-0.36075953092261626,0.4739148931136046,-0.93218411340378,0.9818616389731174,-4.689873901994011
APOB,-0.24219285465193888,0.07356113019464554,-0.3586910540490571,-0.1739713535752418,-1.2109642732596944
